order_id,customer_id,product_id,order_date,quantity,product_name,category,price,total_value
ORD5039,CUST1345,PROD106,2025-02-10,3,Car,Books,439.72,1319.16
ORD5040,CUST1045,PROD102,2024-12-30,1,Focus,Electronics,106.5,106.5
ORD5041,CUST1545,PROD144,2024-09-27,3,Free,Toys,27.7,83.1
ORD5042,CUST1944,PROD146,2025-01-18,2,Final,Toys,176.97,353.94
ORD5043,CUST1077,PROD119,2024-07-08,2,Force,Toys,297.03,594.06
ORD5044,CUST1729,PROD118,2025-02-28,2,According,Home,396.95,793.9
ORD5045,CUST1812,PROD134,2024-07-12,4,Help,Clothing,228.2,912.8
ORD5046,CUST1922,PROD103,2025-01-24,1,Case,Toys,129.46,129.46
ORD5047,CUST1072,PROD104,2025-03-26,4,Cup,Books,140.99,563.96
ORD5048,CUST1793,PROD100,2024-11-08,3,Follow,Electronics,192.04,576.12
ORD5049,CUST1248,PROD103,2025-06-26,1,Case,Toys,129.46,129.46
ORD5050,CUST1046,PROD111,2024-11-08,2,Administration,Clothing,251.59,503.18
ORD5051,CUST1120,PROD126,2025-03-31,1,Buy,Toys,310.55,310.55
ORD5052,CUST1213,PROD141,2024-08-24,2,Arrive,Toys,421.84,843.68
ORD5053,CUST1238,PROD122,2025-02-17,4,Why,Electronics,393.41,1573.64
ORD5054,CUST1055,PROD124,2024-12-05,4,Piece,Electronics,403.5,1614.0
ORD5055,CUST1349,PROD120,2024-10-09,2,Seat,Toys,242.62,485.24
ORD5056,CUST1106,PROD123,2025-06-03,2,Bill,Clothing,321.48,642.96
ORD5057,CUST1830,PROD124,2025-02-08,3,Piece,Electronics,403.5,1210.5
ORD5058,CUST1047,PROD144,2024-12-11,4,Free,Toys,27.7,110.8
ORD5059,CUST1572,PROD145,2025-05-08,4,Consider,Toys,312.3,1249.2
ORD5060,CUST1336,PROD131,2025-03-04,3,Beyond,Electronics,50.05,150.14999999999998
ORD5061,CUST1025,PROD131,2025-02-09,4,Beyond,Electronics,50.05,200.2
ORD5062,CUST1803,PROD104,2025-01-20,2,Cup,Books,140.99,281.98
ORD5063,CUST1256,PROD135,2024-12-30,1,Director,Electronics,455.68,455.68
ORD5064,CUST1007,PROD145,2024-08-03,1,Consider,Toys,312.3,312.3
ORD5065,CUST1624,PROD141,2025-02-28,4,Arrive,Toys,421.84,1687.36
ORD5066,CUST1866,PROD148,2024-09-11,3,Thousand,Clothing,291.93,875.79
ORD5067,CUST1252,PROD141,2025-03-08,2,Arrive,Toys,421.84,843.68
ORD5068,CUST1691,PROD138,2024-08-26,1,Provide,Toys,350.33,350.33
ORD5069,CUST1718,PROD115,2024-12-19,2,Result,Clothing,409.11,818.22
ORD5070,CUST1302,PROD132,2024-11-15,4,Look,Toys,364.57,1458.28
ORD5071,CUST1638,PROD148,2025-05-10,4,Thousand,Clothing,291.93,1167.72
ORD5072,CUST1055,PROD120,2024-12-11,1,Seat,Toys,242.62,242.62
ORD5073,CUST1725,PROD108,2025-06-12,4,Chance,Toys,28.21,112.84
ORD5074,CUST1525,PROD105,2025-01-26,3,Hot,Toys,107.58,322.74
ORD5075,CUST1473,PROD144,2024-08-01,4,Free,Toys,27.7,110.8
ORD5076,CUST1027,PROD134,2025-05-18,4,Help,Clothing,228.2,912.8
ORD5077,CUST1982,PROD138,2025-05-21,4,Provide,Toys,350.33,1401.32
ORD5078,CUST1077,PROD121,2024-11-06,2,Almost,Electronics,213.17,426.34
ORD5079,CUST1215,PROD140,2024-12-01,2,System,Electronics,232.38,464.76
ORD5080,CUST1385,PROD104,2024-07-30,1,Cup,Books,140.99,140.99
ORD5081,CUST1364,PROD141,2025-01-09,1,Arrive,Toys,421.84,421.84
ORD5082,CUST1665,PROD122,2025-03-05,1,Why,Electronics,393.41,393.41
ORD5083,CUST1525,PROD116,2024-09-28,4,Power,Clothing,484.15,1936.6
ORD5084,CUST1698,PROD111,2024-10-29,2,Administration,Clothing,251.59,503.18
ORD5085,CUST1311,PROD122,2025-01-08,3,Why,Electronics,393.41,1180.23
ORD5086,CUST1882,PROD115,2025-03-25,4,Result,Clothing,409.11,1636.44
ORD5087,CUST1006,PROD102,2025-06-27,4,Focus,Electronics,106.5,426.0
ORD5088,CUST1002,PROD129,2025-05-21,4,Life,Home,320.14,1280.56
ORD5089,CUST1622,PROD121,2025-01-02,3,Almost,Electronics,213.17,639.51
ORD5090,CUST1918,PROD108,2025-01-09,1,Chance,Toys,28.21,28.21
ORD5091,CUST1749,PROD128,2025-03-12,3,Station,Electronics,306.0,918.0
ORD5092,CUST1362,PROD146,2025-04-25,1,Final,Toys,176.97,176.97
ORD5093,CUST1750,PROD136,2024-10-23,3,Site,Home,152.49,457.47
ORD5094,CUST1507,PROD122,2025-01-26,2,Why,Electronics,393.41,786.82
ORD5095,CUST1273,PROD112,2024-12-01,4,Stuff,Home,240.72,962.88
ORD5096,CUST1505,PROD131,2025-04-12,4,Beyond,Electronics,50.05,200.2
ORD5097,CUST1805,PROD145,2025-05-26,4,Consider,Toys,312.3,1249.2
ORD5098,CUST1738,PROD146,2025-04-09,1,Final,Toys,176.97,176.97
ORD5099,CUST1882,PROD147,2024-09-29,3,Discover,Toys,108.52,325.56
ORD5100,CUST1014,PROD122,2025-02-16,2,Why,Electronics,393.41,786.82
ORD5101,CUST1191,PROD144,2025-06-04,3,Free,Toys,27.7,83.1
ORD5102,CUST1984,PROD116,2025-06-15,4,Power,Clothing,484.15,1936.6
ORD5103,CUST1630,PROD139,2024-08-02,2,Group,Books,399.25,798.5
ORD5104,CUST1484,PROD120,2025-03-16,2,Seat,Toys,242.62,485.24
ORD5105,CUST1027,PROD101,2024-11-20,4,Science,Electronics,124.34,497.36
ORD5106,CUST1713,PROD136,2025-03-29,3,Site,Home,152.49,457.47
ORD5107,CUST1038,PROD105,2024-09-24,4,Hot,Toys,107.58,430.32
ORD5108,CUST1952,PROD143,2024-08-05,3,Glass,Home,37.79,113.37
ORD5109,CUST1272,PROD117,2024-11-27,2,Chair,Clothing,48.76,97.52
ORD5110,CUST1230,PROD129,2025-05-31,2,Life,Home,320.14,640.28
ORD5111,CUST1085,PROD121,2024-07-11,4,Almost,Electronics,213.17,852.68
ORD5112,CUST1473,PROD132,2025-06-30,2,Look,Toys,364.57,729.14
ORD5113,CUST1125,PROD129,2024-11-09,1,Life,Home,320.14,320.14
ORD5114,CUST1811,PROD116,2024-11-25,2,Power,Clothing,484.15,968.3
ORD5115,CUST1536,PROD142,2025-04-28,1,Above,Toys,385.61,385.61
ORD5116,CUST1144,PROD131,2024-08-18,2,Beyond,Electronics,50.05,100.1
ORD5117,CUST1524,PROD141,2025-05-11,4,Arrive,Toys,421.84,1687.36
ORD5118,CUST1211,PROD113,2025-04-23,4,Run,Toys,416.53,1666.12
ORD5119,CUST1024,PROD109,2024-11-04,1,Understand,Home,137.99,137.99
ORD5120,CUST1579,PROD146,2024-08-05,4,Final,Toys,176.97,707.88
ORD5121,CUST1393,PROD135,2025-01-25,2,Director,Electronics,455.68,911.36
ORD5122,CUST1066,PROD133,2025-07-05,2,Window,Electronics,275.99,551.98
ORD5123,CUST1232,PROD108,2024-07-14,4,Chance,Toys,28.21,112.84
ORD5124,CUST1108,PROD141,2024-11-28,2,Arrive,Toys,421.84,843.68
ORD5125,CUST1145,PROD127,2025-03-03,3,Ago,Clothing,490.33,1470.99
ORD5126,CUST1110,PROD110,2025-01-15,3,Site,Toys,15.98,47.94
ORD5127,CUST1227,PROD113,2025-02-20,2,Run,Toys,416.53,833.06
ORD5128,CUST1110,PROD138,2025-06-02,4,Provide,Toys,350.33,1401.32
ORD5129,CUST1469,PROD146,2024-08-15,1,Final,Toys,176.97,176.97
ORD5130,CUST1033,PROD118,2024-11-20,4,According,Home,396.95,1587.8
ORD5131,CUST1622,PROD114,2025-02-04,1,Themselves,Electronics,157.35,157.35
ORD5132,CUST1775,PROD127,2024-11-05,4,Ago,Clothing,490.33,1961.32
ORD5133,CUST1935,PROD123,2025-01-17,2,Bill,Clothing,321.48,642.96
ORD5134,CUST1368,PROD107,2024-12-18,3,Them,Toys,379.71,1139.1299999999999
ORD5135,CUST1747,PROD142,2025-04-25,4,Above,Toys,385.61,1542.44
ORD5136,CUST1594,PROD108,2025-03-23,1,Chance,Toys,28.21,28.21
ORD5137,CUST1553,PROD146,2025-04-18,3,Final,Toys,176.97,530.91
ORD5138,CUST1424,PROD132,2024-12-28,1,Look,Toys,364.57,364.57
ORD5139,CUST1612,PROD132,2024-12-01,2,Look,Toys,364.57,729.14
ORD5140,CUST1517,PROD118,2025-06-25,3,According,Home,396.95,1190.85
ORD5141,CUST1691,PROD102,2025-03-28,1,Focus,Electronics,106.5,106.5
ORD5142,CUST1281,PROD109,2024-09-05,4,Understand,Home,137.99,551.96
ORD5143,CUST1319,PROD139,2025-06-26,2,Group,Books,399.25,798.5
ORD5144,CUST1737,PROD146,2024-12-04,2,Final,Toys,176.97,353.94
ORD5145,CUST1442,PROD141,2024-11-20,2,Arrive,Toys,421.84,843.68
ORD5146,CUST1951,PROD100,2025-05-15,4,Follow,Electronics,192.04,768.16
ORD5147,CUST1314,PROD128,2024-07-16,4,Station,Electronics,306.0,1224.0
ORD5148,CUST1876,PROD149,2024-11-25,3,Air,Clothing,174.07,522.21
ORD5149,CUST1965,PROD133,2024-08-30,4,Window,Electronics,275.99,1103.96
ORD5150,CUST1740,PROD112,2025-04-02,3,Stuff,Home,240.72,722.16
ORD5151,CUST1376,PROD100,2025-07-05,2,Follow,Electronics,192.04,384.08
ORD5152,CUST1288,PROD133,2024-08-17,3,Window,Electronics,275.99,827.97
ORD5153,CUST1436,PROD128,2024-08-29,1,Station,Electronics,306.0,306.0
ORD5154,CUST1661,PROD147,2025-01-24,2,Discover,Toys,108.52,217.04
ORD5155,CUST1276,PROD146,2025-05-11,2,Final,Toys,176.97,353.94
ORD5156,CUST1709,PROD112,2024-09-17,3,Stuff,Home,240.72,722.16
ORD5157,CUST1581,PROD147,2025-02-23,2,Discover,Toys,108.52,217.04
ORD5158,CUST1502,PROD148,2024-09-30,4,Thousand,Clothing,291.93,1167.72
ORD5159,CUST1623,PROD128,2025-04-18,1,Station,Electronics,306.0,306.0
ORD5160,CUST1515,PROD138,2024-07-09,3,Provide,Toys,350.33,1050.99
ORD5161,CUST1349,PROD123,2025-05-16,3,Bill,Clothing,321.48,964.44
ORD5162,CUST1842,PROD125,2024-12-22,2,Article,Home,452.06,904.12
ORD5163,CUST1445,PROD116,2025-07-06,4,Power,Clothing,484.15,1936.6
ORD5164,CUST1829,PROD106,2024-08-25,2,Car,Books,439.72,879.44
ORD5165,CUST1349,PROD112,2024-08-10,2,Stuff,Home,240.72,481.44
ORD5166,CUST1606,PROD104,2025-03-03,3,Cup,Books,140.99,422.97
ORD5167,CUST1663,PROD125,2024-12-18,2,Article,Home,452.06,904.12
ORD5168,CUST1822,PROD148,2024-12-09,1,Thousand,Clothing,291.93,291.93
ORD5169,CUST1136,PROD102,2025-06-13,2,Focus,Electronics,106.5,213.0
ORD5170,CUST1758,PROD106,2024-10-19,2,Car,Books,439.72,879.44
ORD5171,CUST1898,PROD148,2025-02-23,3,Thousand,Clothing,291.93,875.79
ORD5172,CUST1242,PROD138,2024-09-05,2,Provide,Toys,350.33,700.66
ORD5173,CUST1542,PROD100,2025-04-09,4,Follow,Electronics,192.04,768.16
ORD5174,CUST1039,PROD148,2024-12-18,3,Thousand,Clothing,291.93,875.79
ORD5175,CUST1228,PROD116,2025-04-26,2,Power,Clothing,484.15,968.3
ORD5176,CUST1547,PROD142,2025-05-05,1,Above,Toys,385.61,385.61
ORD5177,CUST1919,PROD124,2025-03-15,1,Piece,Electronics,403.5,403.5
ORD5178,CUST1222,PROD102,2025-06-12,3,Focus,Electronics,106.5,319.5
ORD5179,CUST1005,PROD114,2025-03-31,3,Themselves,Electronics,157.35,472.04999999999995
ORD5180,CUST1321,PROD128,2024-10-04,2,Station,Electronics,306.0,612.0
ORD5181,CUST1467,PROD142,2024-09-06,4,Above,Toys,385.61,1542.44
ORD5182,CUST1731,PROD131,2025-02-28,2,Beyond,Electronics,50.05,100.1
ORD5183,CUST1074,PROD125,2025-05-06,1,Article,Home,452.06,452.06
ORD5184,CUST1003,PROD115,2025-02-26,4,Result,Clothing,409.11,1636.44
ORD5185,CUST1846,PROD124,2025-02-22,4,Piece,Electronics,403.5,1614.0
ORD5186,CUST1645,PROD127,2024-11-09,4,Ago,Clothing,490.33,1961.32
ORD5187,CUST1117,PROD108,2025-01-07,2,Chance,Toys,28.21,56.42
ORD5188,CUST1880,PROD100,2025-02-10,1,Follow,Electronics,192.04,192.04
ORD5189,CUST1605,PROD128,2025-01-20,3,Station,Electronics,306.0,918.0
ORD5190,CUST1503,PROD121,2024-07-13,2,Almost,Electronics,213.17,426.34
ORD5191,CUST1997,PROD115,2024-10-10,3,Result,Clothing,409.11,1227.33
ORD5192,CUST1946,PROD140,2025-03-05,4,System,Electronics,232.38,929.52
ORD5193,CUST1573,PROD143,2024-11-20,4,Glass,Home,37.79,151.16
ORD5194,CUST1440,PROD140,2024-11-13,2,System,Electronics,232.38,464.76
ORD5195,CUST1193,PROD106,2024-09-08,1,Car,Books,439.72,439.72
ORD5196,CUST1846,PROD113,2025-06-25,4,Run,Toys,416.53,1666.12
ORD5197,CUST1714,PROD128,2024-10-10,3,Station,Electronics,306.0,918.0
ORD5198,CUST1391,PROD118,2025-02-01,3,According,Home,396.95,1190.85
ORD5199,CUST1025,PROD118,2024-11-02,2,According,Home,396.95,793.9
ORD5200,CUST1434,PROD101,2024-10-05,3,Science,Electronics,124.34,373.02
ORD5201,CUST1172,PROD140,2024-12-04,1,System,Electronics,232.38,232.38
ORD5202,CUST1299,PROD144,2024-09-25,4,Free,Toys,27.7,110.8
ORD5203,CUST1644,PROD114,2025-02-16,3,Themselves,Electronics,157.35,472.04999999999995
ORD5204,CUST1325,PROD102,2025-03-15,3,Focus,Electronics,106.5,319.5
ORD5205,CUST1409,PROD110,2025-04-25,4,Site,Toys,15.98,63.92
ORD5206,CUST1117,PROD145,2025-05-04,2,Consider,Toys,312.3,624.6
ORD5207,CUST1835,PROD129,2025-01-26,3,Life,Home,320.14,960.42
ORD5208,CUST1786,PROD139,2025-04-04,2,Group,Books,399.25,798.5
ORD5209,CUST1723,PROD117,2025-01-12,2,Chair,Clothing,48.76,97.52
ORD5210,CUST1224,PROD147,2024-11-10,3,Discover,Toys,108.52,325.56
ORD5211,CUST1531,PROD101,2024-08-29,1,Science,Electronics,124.34,124.34
ORD5212,CUST1112,PROD131,2024-10-02,2,Beyond,Electronics,50.05,100.1
ORD5213,CUST1139,PROD107,2024-08-02,3,Them,Toys,379.71,1139.1299999999999
ORD5214,CUST1558,PROD121,2024-11-27,2,Almost,Electronics,213.17,426.34
ORD5215,CUST1000,PROD105,2024-09-27,4,Hot,Toys,107.58,430.32
ORD5216,CUST1089,PROD111,2025-04-22,1,Administration,Clothing,251.59,251.59
ORD5217,CUST1653,PROD146,2025-02-23,1,Final,Toys,176.97,176.97
ORD5218,CUST1319,PROD139,2025-03-12,4,Group,Books,399.25,1597.0
ORD5219,CUST1549,PROD135,2024-07-31,4,Director,Electronics,455.68,1822.72
ORD5220,CUST1804,PROD114,2024-10-28,2,Themselves,Electronics,157.35,314.7
ORD5221,CUST1893,PROD127,2025-02-24,4,Ago,Clothing,490.33,1961.32
ORD5222,CUST1138,PROD148,2024-09-02,1,Thousand,Clothing,291.93,291.93
ORD5223,CUST1510,PROD144,2025-06-04,4,Free,Toys,27.7,110.8
ORD5224,CUST1867,PROD117,2025-05-04,3,Chair,Clothing,48.76,146.28
ORD5225,CUST1844,PROD101,2025-05-11,3,Science,Electronics,124.34,373.02
ORD5226,CUST1258,PROD112,2025-01-19,2,Stuff,Home,240.72,481.44
ORD5227,CUST1672,PROD144,2024-10-02,1,Free,Toys,27.7,27.7
ORD5228,CUST1901,PROD114,2024-11-18,3,Themselves,Electronics,157.35,472.04999999999995
ORD5229,CUST1689,PROD119,2024-08-12,4,Force,Toys,297.03,1188.12
ORD5230,CUST1009,PROD128,2024-12-25,3,Station,Electronics,306.0,918.0
ORD5231,CUST1260,PROD141,2025-01-10,3,Arrive,Toys,421.84,1265.52
ORD5232,CUST1918,PROD128,2025-02-01,2,Station,Electronics,306.0,612.0
ORD5233,CUST1649,PROD102,2024-08-07,4,Focus,Electronics,106.5,426.0
ORD5234,CUST1171,PROD118,2025-06-21,4,According,Home,396.95,1587.8
ORD5235,CUST1897,PROD102,2025-06-18,4,Focus,Electronics,106.5,426.0
ORD5236,CUST1012,PROD113,2025-03-24,2,Run,Toys,416.53,833.06
ORD5237,CUST1167,PROD139,2025-01-30,4,Group,Books,399.25,1597.0
ORD5238,CUST1641,PROD103,2025-05-24,4,Case,Toys,129.46,517.84
ORD5239,CUST1595,PROD110,2024-09-24,3,Site,Toys,15.98,47.94
ORD5240,CUST1320,PROD130,2024-12-01,3,Hour,Home,279.63,838.89
ORD5241,CUST1318,PROD142,2025-04-26,4,Above,Toys,385.61,1542.44
ORD5242,CUST1612,PROD131,2025-04-13,1,Beyond,Electronics,50.05,50.05
ORD5243,CUST1328,PROD126,2024-09-08,1,Buy,Toys,310.55,310.55
ORD5244,CUST1784,PROD129,2024-09-17,4,Life,Home,320.14,1280.56
ORD5245,CUST1776,PROD142,2025-01-18,1,Above,Toys,385.61,385.61
ORD5246,CUST1970,PROD101,2025-05-13,2,Science,Electronics,124.34,248.68
ORD5247,CUST1910,PROD148,2024-07-19,3,Thousand,Clothing,291.93,875.79
ORD5248,CUST1919,PROD108,2025-02-27,2,Chance,Toys,28.21,56.42
ORD5249,CUST1549,PROD127,2024-12-01,3,Ago,Clothing,490.33,1470.99
ORD5250,CUST1418,PROD130,2024-10-24,1,Hour,Home,279.63,279.63
ORD5251,CUST1605,PROD133,2024-11-27,1,Window,Electronics,275.99,275.99
ORD5252,CUST1094,PROD114,2025-04-15,4,Themselves,Electronics,157.35,629.4
ORD5253,CUST1816,PROD147,2024-08-18,1,Discover,Toys,108.52,108.52
ORD5254,CUST1580,PROD124,2025-05-13,1,Piece,Electronics,403.5,403.5
ORD5255,CUST1317,PROD135,2024-10-13,4,Director,Electronics,455.68,1822.72
ORD5256,CUST1955,PROD107,2025-01-30,4,Them,Toys,379.71,1518.84
ORD5257,CUST1235,PROD108,2025-01-28,3,Chance,Toys,28.21,84.63
ORD5258,CUST1945,PROD136,2025-01-16,1,Site,Home,152.49,152.49
ORD5259,CUST1333,PROD147,2025-01-15,3,Discover,Toys,108.52,325.56
ORD5260,CUST1884,PROD144,2024-11-18,3,Free,Toys,27.7,83.1
ORD5261,CUST1375,PROD138,2024-08-25,2,Provide,Toys,350.33,700.66
ORD5262,CUST1458,PROD131,2025-03-18,1,Beyond,Electronics,50.05,50.05
ORD5263,CUST1136,PROD116,2025-03-28,1,Power,Clothing,484.15,484.15
ORD5264,CUST1929,PROD134,2024-09-12,2,Help,Clothing,228.2,456.4
ORD5265,CUST1587,PROD136,2025-06-24,3,Site,Home,152.49,457.47
ORD5266,CUST1994,PROD118,2024-09-21,1,According,Home,396.95,396.95
ORD5267,CUST1546,PROD143,2025-06-18,3,Glass,Home,37.79,113.37
ORD5268,CUST1512,PROD128,2024-11-17,2,Station,Electronics,306.0,612.0
ORD5269,CUST1295,PROD106,2024-10-12,4,Car,Books,439.72,1758.88
ORD5270,CUST1319,PROD127,2025-01-12,3,Ago,Clothing,490.33,1470.99
ORD5271,CUST1917,PROD108,2025-01-18,1,Chance,Toys,28.21,28.21
ORD5272,CUST1571,PROD127,2024-09-23,4,Ago,Clothing,490.33,1961.32
ORD5273,CUST1831,PROD105,2024-09-05,3,Hot,Toys,107.58,322.74
ORD5274,CUST1348,PROD128,2025-01-25,3,Station,Electronics,306.0,918.0
ORD5275,CUST1839,PROD116,2024-07-19,4,Power,Clothing,484.15,1936.6
ORD5276,CUST1778,PROD115,2024-11-15,4,Result,Clothing,409.11,1636.44
ORD5277,CUST1872,PROD122,2025-02-02,4,Why,Electronics,393.41,1573.64
ORD5278,CUST1228,PROD130,2025-04-25,1,Hour,Home,279.63,279.63
ORD5279,CUST1269,PROD102,2025-01-04,1,Focus,Electronics,106.5,106.5
ORD5280,CUST1827,PROD120,2024-11-27,3,Seat,Toys,242.62,727.86
ORD5281,CUST1797,PROD125,2024-10-19,3,Article,Home,452.06,1356.18
ORD5282,CUST1290,PROD135,2025-03-31,2,Director,Electronics,455.68,911.36
ORD5283,CUST1724,PROD141,2024-08-22,1,Arrive,Toys,421.84,421.84
ORD5284,CUST1164,PROD136,2025-04-04,3,Site,Home,152.49,457.47
ORD5285,CUST1004,PROD121,2024-11-23,4,Almost,Electronics,213.17,852.68
ORD5286,CUST1850,PROD141,2024-07-27,4,Arrive,Toys,421.84,1687.36
ORD5287,CUST1378,PROD111,2025-05-03,1,Administration,Clothing,251.59,251.59
ORD5288,CUST1077,PROD141,2024-09-28,4,Arrive,Toys,421.84,1687.36
ORD5289,CUST1409,PROD112,2025-03-28,2,Stuff,Home,240.72,481.44
ORD5290,CUST1573,PROD110,2025-06-02,3,Site,Toys,15.98,47.94
ORD5291,CUST1131,PROD115,2025-06-03,3,Result,Clothing,409.11,1227.33
ORD5292,CUST1600,PROD107,2024-11-19,3,Them,Toys,379.71,1139.1299999999999
ORD5293,CUST1748,PROD139,2024-07-27,1,Group,Books,399.25,399.25
ORD5294,CUST1041,PROD139,2025-01-18,4,Group,Books,399.25,1597.0
ORD5295,CUST1088,PROD144,2024-08-07,2,Free,Toys,27.7,55.4
ORD5296,CUST1401,PROD101,2025-06-06,1,Science,Electronics,124.34,124.34
ORD5297,CUST1295,PROD129,2024-12-06,3,Life,Home,320.14,960.42
ORD5298,CUST1839,PROD129,2025-06-03,2,Life,Home,320.14,640.28
ORD5299,CUST1294,PROD111,2025-05-17,3,Administration,Clothing,251.59,754.77
ORD5300,CUST1615,PROD109,2024-09-29,3,Understand,Home,137.99,413.97
ORD5301,CUST1525,PROD143,2024-07-27,1,Glass,Home,37.79,37.79
ORD5302,CUST1799,PROD110,2024-08-12,3,Site,Toys,15.98,47.94
ORD5303,CUST1690,PROD114,2025-04-22,2,Themselves,Electronics,157.35,314.7
ORD5304,CUST1636,PROD115,2024-10-20,3,Result,Clothing,409.11,1227.33
ORD5305,CUST1421,PROD116,2024-09-01,4,Power,Clothing,484.15,1936.6
ORD5306,CUST1864,PROD125,2024-09-30,3,Article,Home,452.06,1356.18
ORD5307,CUST1022,PROD101,2024-09-11,1,Science,Electronics,124.34,124.34
ORD5308,CUST1574,PROD149,2024-12-11,2,Air,Clothing,174.07,348.14
ORD5309,CUST1142,PROD111,2024-08-11,1,Administration,Clothing,251.59,251.59
ORD5310,CUST1992,PROD125,2025-04-15,4,Article,Home,452.06,1808.24
ORD5311,CUST1664,PROD122,2024-08-16,3,Why,Electronics,393.41,1180.23
ORD5312,CUST1144,PROD117,2024-07-07,1,Chair,Clothing,48.76,48.76
ORD5313,CUST1224,PROD131,2024-10-30,1,Beyond,Electronics,50.05,50.05
ORD5314,CUST1502,PROD148,2024-09-08,1,Thousand,Clothing,291.93,291.93
ORD5315,CUST1961,PROD137,2024-07-24,1,Election,Electronics,264.18,264.18
ORD5316,CUST1973,PROD146,2024-09-22,4,Final,Toys,176.97,707.88
ORD5317,CUST1820,PROD102,2024-09-18,4,Focus,Electronics,106.5,426.0
ORD5318,CUST1615,PROD137,2024-09-09,3,Election,Electronics,264.18,792.54
ORD5319,CUST1103,PROD102,2024-10-11,3,Focus,Electronics,106.5,319.5
ORD5320,CUST1946,PROD129,2025-03-26,2,Life,Home,320.14,640.28
ORD5321,CUST1038,PROD100,2024-12-25,4,Follow,Electronics,192.04,768.16
ORD5322,CUST1946,PROD129,2025-06-10,1,Life,Home,320.14,320.14
ORD5323,CUST1197,PROD144,2024-11-29,1,Free,Toys,27.7,27.7
ORD5324,CUST1645,PROD131,2025-01-12,2,Beyond,Electronics,50.05,100.1
ORD5325,CUST1578,PROD127,2025-04-07,1,Ago,Clothing,490.33,490.33
ORD5326,CUST1390,PROD120,2024-11-20,2,Seat,Toys,242.62,485.24
ORD5327,CUST1178,PROD145,2024-10-14,3,Consider,Toys,312.3,936.9000000000001
ORD5328,CUST1967,PROD112,2025-01-28,4,Stuff,Home,240.72,962.88
ORD5329,CUST1553,PROD126,2024-11-29,2,Buy,Toys,310.55,621.1
